image_id,dataset,fold1,fold2,fold3,fold4,fold5
4,ubc_ocean,0,0,0,0,1
41,ubc_ocean,0,0,0,1,0
66,ubc_ocean,0,0,1,0,0
91,ubc_ocean,0,1,0,0,0
281,ubc_ocean,0,0,1,0,0
286,ubc_ocean,0,0,0,0,1
431,ubc_ocean,0,0,0,0,1
706,ubc_ocean,0,0,1,0,0
970,ubc_ocean,1,0,0,0,0
1020,ubc_ocean,1,0,0,0,0
1080,ubc_ocean,0,1,0,0,0
1101,ubc_ocean,0,0,0,0,1
1252,ubc_ocean,0,0,1,0,0
1289,ubc_ocean,0,0,0,0,1
1295,ubc_ocean,0,0,0,0,1
1660,ubc_ocean,0,0,0,1,0
1666,ubc_ocean,0,0,0,1,0
1774,ubc_ocean,0,0,1,0,0
1925,ubc_ocean,0,0,0,1,0
1943,ubc_ocean,0,0,0,1,0
1952,ubc_ocean,0,1,0,0,0
2097,ubc_ocean,0,0,1,0,0
2227,ubc_ocean,0,0,1,0,0
2391,ubc_ocean,0,1,0,0,0
2666,ubc_ocean,0,0,0,1,0
2706,ubc_ocean,0,0,0,0,1
2906,ubc_ocean,0,0,1,0,0
3055,ubc_ocean,0,0,0,0,1
3084,ubc_ocean,0,0,0,1,0
3092,ubc_ocean,0,0,0,0,1
3098,ubc_ocean,0,0,0,0,1
3191,ubc_ocean,0,0,0,0,1
3222,ubc_ocean,0,1,0,0,0
3264,ubc_ocean,0,0,1,0,0
3511,ubc_ocean,0,0,0,0,1
3672,ubc_ocean,0,1,0,0,0
3881,ubc_ocean,0,0,0,1,0
3997,ubc_ocean,0,0,0,0,1
4134,ubc_ocean,0,1,0,0,0
4211,ubc_ocean,0,1,0,0,0
4608,ubc_ocean,1,0,0,0,0
4797,ubc_ocean,0,0,0,0,1
4827,ubc_ocean,0,0,1,0,0
4877,ubc_ocean,1,0,0,0,0
4963,ubc_ocean,0,0,1,0,0
5015,ubc_ocean,0,1,0,0,0
5114,ubc_ocean,0,0,0,1,0
5251,ubc_ocean,0,0,1,0,0
5264,ubc_ocean,0,0,0,0,1
5265,ubc_ocean,0,0,0,1,0
5307,ubc_ocean,0,0,0,0,1
5456,ubc_ocean,0,1,0,0,0
5851,ubc_ocean,0,0,0,1,0
5852,ubc_ocean,0,1,0,0,0
5970,ubc_ocean,0,0,0,1,0
5992,ubc_ocean,0,1,0,0,0
6140,ubc_ocean,0,0,1,0,0
6175,ubc_ocean,0,0,0,1,0
6281,ubc_ocean,0,0,0,1,0
6359,ubc_ocean,0,0,0,1,0
6363,ubc_ocean,0,0,1,0,0
6449,ubc_ocean,1,0,0,0,0
6558,ubc_ocean,0,0,1,0,0
6582,ubc_ocean,0,1,0,0,0
6793,ubc_ocean,0,0,1,0,0
6843,ubc_ocean,0,1,0,0,0
6898,ubc_ocean,0,0,1,0,0
6951,ubc_ocean,0,1,0,0,0
7204,ubc_ocean,0,0,0,0,1
7329,ubc_ocean,0,1,0,0,0
7482,ubc_ocean,0,0,0,1,0
7490,ubc_ocean,1,0,0,0,0
7955,ubc_ocean,1,0,0,0,0
8130,ubc_ocean,1,0,0,0,0
8213,ubc_ocean,0,0,0,0,1
8240,ubc_ocean,1,0,0,0,0
8279,ubc_ocean,0,0,1,0,0
8280,ubc_ocean,0,0,0,1,0
8531,ubc_ocean,0,0,0,1,0
8713,ubc_ocean,0,0,0,1,0
8805,ubc_ocean,0,1,0,0,0
8985,ubc_ocean,0,0,0,0,1
9154,ubc_ocean,1,0,0,0,0
9183,ubc_ocean,0,0,0,1,0
9200,ubc_ocean,0,1,0,0,0
9254,ubc_ocean,0,0,0,0,1
9341,ubc_ocean,0,0,0,1,0
9509,ubc_ocean,0,0,0,1,0
9658,ubc_ocean,0,0,1,0,0
9697,ubc_ocean,0,0,1,0,0
10077,ubc_ocean,0,0,0,0,1
10143,ubc_ocean,0,0,0,1,0
10246,ubc_ocean,0,1,0,0,0
10252,ubc_ocean,0,0,0,0,1
10469,ubc_ocean,0,1,0,0,0
10548,ubc_ocean,0,0,0,1,0
10642,ubc_ocean,0,0,1,0,0
10800,ubc_ocean,0,0,0,0,1
10896,ubc_ocean,1,0,0,0,0
