image_id,label,image_width,image_height,image_type,organ,cancer_subtype,dataset,image_path
kztymsrjx9_0,MC,615,461,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/0.jpg
kztymsrjx9_1,MC,615,463,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/1.jpg
kztymsrjx9_2,MC,615,460,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/2.jpg
kztymsrjx9_3,MC,616,440,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/3.jpg
kztymsrjx9_4,MC,616,440,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/4.jpg
kztymsrjx9_5,MC,612,460,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/5.jpg
kztymsrjx9_6,MC,616,437,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/6.jpg
kztymsrjx9_7,MC,613,440,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/7.jpg
kztymsrjx9_8,MC,618,442,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/8.jpg
kztymsrjx9_9,MC,613,439,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/9.jpg
kztymsrjx9_10,MC,615,439,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/10.jpg
kztymsrjx9_11,MC,616,440,tma,ovary,Mucinous,kztymsrjx9,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/kztymsrjx9/images/11.jpg
