image_id,label,image_width,image_height,image_type,organ,cancer_subtype,dataset,image_path
stanford_tissue_microarray_database_ovarian_cancer_tma_0,Other,1504,1440,tma,ovary,fibroma of ovary spindle cell fibroma of ovary,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/0.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_1,Other,1504,1440,tma,ovary,fibroma of ovary spindle cell fibroma of ovary,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/1.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_2,HGSC,1504,1440,tma,ovary,carcinoma adeno,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/2.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_3,HGSC,1504,1440,tma,ovary,carcinoma papillary serous,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/3.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_4,HGSC,1504,1440,tma,ovary,carcinoma papillary serous,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/4.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_5,Other,1504,1440,tma,ovary,lymphoma precursor B lymphoblastic,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/5.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_6,EC,1504,1440,tma,ovary,carcinoma endometrioid,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/6.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_7,Other,1504,1440,tma,ovary,fibroma of ovary spindle cell fibroma of ovary,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/7.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_8,CC,1504,1440,tma,ovary,carcinoma clear cell,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/8.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_9,HGSC,1504,1440,tma,ovary,carcinoma papillary serous,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/9.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_10,Other,1504,1440,tma,ovary,fibroma of ovary spindle cell fibroma of ovary,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/10.jpg
stanford_tissue_microarray_database_ovarian_cancer_tma_11,HGSC,1504,1440,tma,ovary,carcinoma papillary serous,stanford_tissue_microarray_database_ovarian_cancer_tma,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/stanford_tissue_microarray_database_ovarian_cancer_tma/images/11.jpg
