image_id,label,image_width,image_height,image_type,organ,cancer_subtype,dataset,image_path
tissuearraycom_0,Other,910,903,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/0.png
tissuearraycom_1,MC,910,900,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/1.png
tissuearraycom_2,MC,1342,1039,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/2.png
tissuearraycom_3,HGSC,1077,1039,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/3.png
tissuearraycom_4,Other,904,878,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/4.png
tissuearraycom_5,Other,1312,1035,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/5.png
tissuearraycom_6,Other,1344,1032,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/6.png
tissuearraycom_7,CC,1225,1047,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/7.png
tissuearraycom_8,Other,1340,1046,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/8.png
tissuearraycom_9,Other,1187,1035,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/9.png
tissuearraycom_10,EC,1008,1016,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/10.png
tissuearraycom_11,LGSC,903,901,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/11.png
tissuearraycom_12,MC,1701,1044,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/12.png
tissuearraycom_13,HGSC,905,830,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/13.png
tissuearraycom_14,CC,872,905,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/14.png
tissuearraycom_15,HGSC,901,890,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/15.png
tissuearraycom_16,Other,1185,1044,tma,ovary,,tissuearraycom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/tissuearraycom/images/16.png
