image_id,crop_id,label,tumor_area,w1,h1,w2,h2
4,0,HGSC,1001790,3072,5120,4096,6144
4,1,HGSC,930784,3072,14336,4096,15360
4,2,HGSC,877627,2048,11264,3072,12288
4,3,HGSC,873440,3072,12288,4096,13312
4,4,HGSC,767304,2048,5120,3072,6144
4,5,HGSC,685888,3072,15360,4096,16384
4,6,HGSC,624671,3072,13312,4096,14336
4,7,HGSC,600236,3072,4096,4096,5120
4,8,HGSC,599773,3072,6144,4096,7168
4,9,HGSC,524646,2048,6144,3072,7168
4,10,HGSC,509775,1024,7168,2048,8192
4,11,HGSC,445505,5120,17408,6144,18432
4,12,HGSC,392245,4096,14336,5120,15360
4,13,HGSC,381368,1024,8192,2048,9216
4,14,HGSC,355716,4096,13312,5120,14336
4,15,HGSC,349641,3072,11264,4096,12288
4,16,HGSC,323394,2048,15360,3072,16384
4,17,HGSC,309108,1024,11264,2048,12288
4,18,HGSC,291355,4096,4096,5120,5120
4,19,HGSC,279715,5120,18432,6144,19456
4,20,HGSC,270304,4096,12288,5120,13312
4,21,HGSC,205079,1024,6144,2048,7168
4,22,HGSC,187192,4096,5120,5120,6144
4,23,HGSC,182887,4096,15360,5120,16384
4,24,HGSC,158372,4096,6144,5120,7168
4,25,HGSC,157227,2048,4096,3072,5120
4,26,HGSC,139767,2048,12288,3072,13312
4,27,HGSC,136834,2048,14336,3072,15360
4,28,HGSC,128152,6144,18432,7168,19456
4,29,HGSC,106484,2048,7168,3072,8192
4,30,HGSC,97569,4096,3072,5120,4096
4,31,HGSC,96366,2048,10240,3072,11264
66,0,LGSC,1043553,16384,39936,17408,40960
66,1,LGSC,1042897,17408,39936,18432,40960
66,2,LGSC,1039868,17408,40960,18432,41984
66,3,LGSC,1037640,16384,38912,17408,39936
66,4,LGSC,1034047,23552,6144,24576,7168
66,5,LGSC,1030846,17408,38912,18432,39936
66,6,LGSC,1029690,17408,41984,18432,43008
66,7,LGSC,1028175,25600,19456,26624,20480
66,8,LGSC,1027695,36864,13312,37888,14336
66,9,LGSC,1024295,24576,6144,25600,7168
66,10,LGSC,1024021,16384,40960,17408,41984
66,11,LGSC,1023693,28672,33792,29696,34816
66,12,LGSC,1022361,15360,38912,16384,39936
66,13,LGSC,1022222,7168,19456,8192,20480
66,14,LGSC,1021876,25600,20480,26624,21504
66,15,LGSC,1021405,16384,5120,17408,6144
66,16,LGSC,1019773,24576,20480,25600,21504
66,17,LGSC,1019699,34816,13312,35840,14336
66,18,LGSC,1019575,36864,14336,37888,15360
66,19,LGSC,1018625,35840,13312,36864,14336
66,20,LGSC,1015018,15360,5120,16384,6144
66,21,LGSC,1013013,27648,33792,28672,34816
66,22,LGSC,1012606,7168,21504,8192,22528
66,23,LGSC,1011671,8192,19456,9216,20480
66,24,LGSC,1011566,21504,24576,22528,25600
66,25,LGSC,1010328,24576,19456,25600,20480
66,26,LGSC,1009985,22528,6144,23552,7168
66,27,LGSC,1009784,32768,28672,33792,29696
66,28,LGSC,1009270,28672,32768,29696,33792
66,29,LGSC,1009071,15360,18432,16384,19456
66,30,LGSC,1008393,22528,5120,23552,6144
66,31,LGSC,1008201,22528,15360,23552,16384
281,0,LGSC,481612,8192,5120,9216,6144
281,1,LGSC,470096,35840,5120,36864,6144
281,2,LGSC,435549,7168,5120,8192,6144
281,3,LGSC,412791,6144,4096,7168,5120
281,4,LGSC,411086,7168,4096,8192,5120
281,5,LGSC,375867,6144,5120,7168,6144
281,6,LGSC,353118,8192,4096,9216,5120
281,7,LGSC,344799,34816,5120,35840,6144
281,8,LGSC,274264,34816,4096,35840,5120
281,9,LGSC,252347,33792,4096,34816,5120
281,10,LGSC,251989,33792,5120,34816,6144
281,11,LGSC,250804,35840,6144,36864,7168
281,12,LGSC,243851,35840,4096,36864,5120
281,13,LGSC,237817,8192,6144,9216,7168
281,14,LGSC,210230,5120,5120,6144,6144
281,15,LGSC,198645,6144,3072,7168,4096
281,16,LGSC,191790,5120,6144,6144,7168
281,17,LGSC,171856,34816,6144,35840,7168
281,18,LGSC,169454,7168,6144,8192,7168
281,19,LGSC,163544,5120,4096,6144,5120
281,20,LGSC,154365,32768,6144,33792,7168
281,21,LGSC,143055,7168,3072,8192,4096
281,22,LGSC,135911,36864,5120,37888,6144
281,23,LGSC,123484,34816,3072,35840,4096
281,24,LGSC,112673,33792,3072,34816,4096
281,25,LGSC,109697,32768,5120,33792,6144
281,26,LGSC,104297,6144,6144,7168,7168
281,27,LGSC,101779,8192,3072,9216,4096
281,28,LGSC,95550,33792,6144,34816,7168
281,29,LGSC,94453,9216,5120,10240,6144
281,30,LGSC,88858,32768,7168,33792,8192
281,31,LGSC,88394,8192,2048,9216,3072
286,0,EC,1040912,9216,11264,10240,12288
286,1,EC,1040703,8192,11264,9216,12288
286,2,EC,1039132,7168,10240,8192,11264
286,3,EC,1038952,12288,12288,13312,13312
286,4,EC,1037892,13312,12288,14336,13312
286,5,EC,1037778,7168,11264,8192,12288
286,6,EC,1037690,8192,10240,9216,11264
286,7,EC,1037447,11264,15360,12288,16384
286,8,EC,1037351,11264,12288,12288,13312
286,9,EC,1035440,8192,12288,9216,13312
286,10,EC,1033411,9216,10240,10240,11264
286,11,EC,1032861,11264,14336,12288,15360
286,12,EC,1032500,10240,12288,11264,13312
286,13,EC,1031270,11264,13312,12288,14336
286,14,EC,1030649,14336,12288,15360,13312
286,15,EC,1030584,11264,16384,12288,17408
286,16,EC,1029804,7168,12288,8192,13312
286,17,EC,1029776,10240,11264,11264,12288
286,18,EC,1029625,9216,12288,10240,13312
286,19,EC,1029349,10240,21504,11264,22528
286,20,EC,1029103,10240,15360,11264,16384
286,21,EC,1027738,10240,10240,11264,11264
286,22,EC,1027547,12288,13312,13312,14336
286,23,EC,1027459,8192,9216,9216,10240
286,24,EC,1027028,26624,16384,27648,17408
286,25,EC,1025171,17408,19456,18432,20480
286,26,EC,1024834,24576,16384,25600,17408
286,27,EC,1024602,11264,21504,12288,22528
286,28,EC,1022887,7168,9216,8192,10240
286,29,EC,1022867,16384,21504,17408,22528
286,30,EC,1022710,16384,19456,17408,20480
286,31,EC,1020966,12288,14336,13312,15360
431,0,HGSC,1048576,28672,35840,29696,36864
431,1,HGSC,1048576,30720,24576,31744,25600
431,2,HGSC,1048576,29696,24576,30720,25600
431,3,HGSC,1048576,31744,23552,32768,24576
431,4,HGSC,1048576,29696,34816,30720,35840
431,5,HGSC,1048576,31744,22528,32768,23552
431,6,HGSC,1048574,31744,24576,32768,25600
431,7,HGSC,1048572,29696,23552,30720,24576
431,8,HGSC,1048569,29696,35840,30720,36864
431,9,HGSC,1048568,30720,34816,31744,35840
431,10,HGSC,1048522,28672,34816,29696,35840
431,11,HGSC,1048447,27648,35840,28672,36864
431,12,HGSC,1048375,31744,21504,32768,22528
431,13,HGSC,1048333,32768,22528,33792,23552
431,14,HGSC,1048318,29696,29696,30720,30720
431,15,HGSC,1048258,29696,25600,30720,26624
431,16,HGSC,1048083,30720,23552,31744,24576
431,17,HGSC,1047861,31744,25600,32768,26624
431,18,HGSC,1047695,29696,26624,30720,27648
431,19,HGSC,1047523,31744,34816,32768,35840
431,20,HGSC,1047430,28672,27648,29696,28672
431,21,HGSC,1047314,30720,25600,31744,26624
431,22,HGSC,1047292,28672,36864,29696,37888
431,23,HGSC,1047150,29696,33792,30720,34816
431,24,HGSC,1047097,28672,24576,29696,25600
431,25,HGSC,1047041,29696,28672,30720,29696
431,26,HGSC,1046981,29696,27648,30720,28672
431,27,HGSC,1046973,29696,22528,30720,23552
431,28,HGSC,1046821,31744,20480,32768,21504
431,29,HGSC,1046819,30720,33792,31744,34816
431,30,HGSC,1046546,28672,23552,29696,24576
431,31,HGSC,1046425,28672,28672,29696,29696
706,0,HGSC,559411,15360,19456,16384,20480
706,1,HGSC,448463,14336,19456,15360,20480
706,2,HGSC,417063,38912,5120,39936,6144
706,3,HGSC,396410,38912,6144,39936,7168
706,4,HGSC,369038,38912,4096,39936,5120
706,5,HGSC,356176,70656,19456,71680,20480
706,6,HGSC,352960,43008,19456,44032,20480
706,7,HGSC,323855,71680,19456,72704,20480
706,8,HGSC,322656,15360,20480,16384,21504
706,9,HGSC,315505,37888,4096,38912,5120
706,10,HGSC,306769,39936,5120,40960,6144
706,11,HGSC,303353,37888,5120,38912,6144
706,12,HGSC,268064,67584,5120,68608,6144
706,13,HGSC,260394,14336,20480,15360,21504
706,14,HGSC,255085,66560,5120,67584,6144
706,15,HGSC,246442,67584,4096,68608,5120
706,16,HGSC,224474,44032,19456,45056,20480
706,17,HGSC,219493,43008,20480,44032,21504
706,18,HGSC,211800,39936,4096,40960,5120
706,19,HGSC,207163,38912,3072,39936,4096
706,20,HGSC,205156,66560,4096,67584,5120
706,21,HGSC,194065,39936,6144,40960,7168
706,22,HGSC,188814,36864,4096,37888,5120
706,23,HGSC,187138,37888,3072,38912,4096
706,24,HGSC,176062,37888,6144,38912,7168
706,25,HGSC,161075,40960,8192,41984,9216
706,26,HGSC,150099,10240,4096,11264,5120
706,27,HGSC,148757,70656,20480,71680,21504
706,28,HGSC,134352,68608,8192,69632,9216
706,29,HGSC,133059,44032,20480,45056,21504
706,30,HGSC,132457,67584,6144,68608,7168
706,31,HGSC,130033,56320,4096,57344,5120
970,0,HGSC,866883,17408,11264,18432,12288
970,1,HGSC,787740,17408,12288,18432,13312
970,2,HGSC,525945,16384,11264,17408,12288
970,3,HGSC,483996,16384,10240,17408,11264
970,4,HGSC,305092,18432,12288,19456,13312
970,5,HGSC,202211,18432,11264,19456,12288
970,6,HGSC,160954,13312,15360,14336,16384
970,7,HGSC,145648,16384,12288,17408,13312
970,8,HGSC,76511,17408,10240,18432,11264
970,9,HGSC,67610,14336,15360,15360,16384
970,10,HGSC,57987,16384,16384,17408,17408
970,11,HGSC,56107,24576,6144,25600,7168
970,12,HGSC,44408,15360,16384,16384,17408
970,13,HGSC,44377,24576,5120,25600,6144
970,14,HGSC,43725,10240,4096,11264,5120
970,15,HGSC,42961,15360,15360,16384,16384
970,16,HGSC,41289,11264,3072,12288,4096
970,17,HGSC,39303,12288,5120,13312,6144
970,18,HGSC,38227,19456,16384,20480,17408
970,19,HGSC,36408,11264,5120,12288,6144
970,20,HGSC,34103,15360,10240,16384,11264
970,21,HGSC,32755,23552,6144,24576,7168
970,22,HGSC,31037,10240,3072,11264,4096
970,23,HGSC,30682,11264,4096,12288,5120
970,24,HGSC,30674,17408,13312,18432,14336
970,25,HGSC,29946,13312,8192,14336,9216
970,26,HGSC,28593,12288,4096,13312,5120
970,27,HGSC,28131,19456,15360,20480,16384
970,28,HGSC,27917,25600,3072,26624,4096
970,29,HGSC,27161,18432,15360,19456,16384
970,30,HGSC,27148,16384,13312,17408,14336
970,31,HGSC,26529,13312,14336,14336,15360
1020,0,HGSC,1047734,19456,7168,20480,8192
1020,1,HGSC,1047378,19456,8192,20480,9216
1020,2,HGSC,1047323,28672,14336,29696,15360
1020,3,HGSC,1047300,28672,15360,29696,16384
1020,4,HGSC,1046799,29696,12288,30720,13312
1020,5,HGSC,1046524,29696,13312,30720,14336
1020,6,HGSC,1045801,28672,12288,29696,13312
1020,7,HGSC,1044201,28672,13312,29696,14336
1020,8,HGSC,1043774,19456,9216,20480,10240
1020,9,HGSC,1043124,16384,9216,17408,10240
1020,10,HGSC,1042931,20480,8192,21504,9216
1020,11,HGSC,1042612,29696,15360,30720,16384
1020,12,HGSC,1042375,20480,9216,21504,10240
1020,13,HGSC,1041034,23552,13312,24576,14336
1020,14,HGSC,1041018,17408,8192,18432,9216
1020,15,HGSC,1040977,17408,9216,18432,10240
1020,16,HGSC,1040038,18432,9216,19456,10240
1020,17,HGSC,1039170,21504,9216,22528,10240
1020,18,HGSC,1038377,16384,8192,17408,9216
1020,19,HGSC,1037288,16384,10240,17408,11264
1020,20,HGSC,1037188,18432,12288,19456,13312
1020,21,HGSC,1035113,19456,12288,20480,13312
1020,22,HGSC,1034879,19456,11264,20480,12288
1020,23,HGSC,1034873,29696,14336,30720,15360
1020,24,HGSC,1034380,21504,11264,22528,12288
1020,25,HGSC,1034331,20480,10240,21504,11264
1020,26,HGSC,1034175,23552,14336,24576,15360
1020,27,HGSC,1034112,28672,11264,29696,12288
1020,28,HGSC,1033995,19456,10240,20480,11264
1020,29,HGSC,1033812,30720,16384,31744,17408
1020,30,HGSC,1033601,21504,10240,22528,11264
1020,31,HGSC,1033237,24576,12288,25600,13312
1080,0,HGSC,1031737,4096,11264,5120,12288
1080,1,HGSC,999759,4096,10240,5120,11264
1080,2,HGSC,982966,5120,11264,6144,12288
1080,3,HGSC,931032,1024,11264,2048,12288
1080,4,HGSC,900330,4096,12288,5120,13312
1080,5,HGSC,791202,4096,15360,5120,16384
1080,6,HGSC,713633,3072,10240,4096,11264
1080,7,HGSC,707167,2048,11264,3072,12288
1080,8,HGSC,691269,5120,12288,6144,13312
1080,9,HGSC,649825,3072,11264,4096,12288
1080,10,HGSC,601783,3072,9216,4096,10240
1080,11,HGSC,570651,5120,10240,6144,11264
1080,12,HGSC,525385,1024,10240,2048,11264
1080,13,HGSC,516043,1024,12288,2048,13312
1080,14,HGSC,486587,3072,12288,4096,13312
1080,15,HGSC,451521,4096,9216,5120,10240
1080,16,HGSC,371433,4096,14336,5120,15360
1080,17,HGSC,315925,2048,6144,3072,7168
1080,18,HGSC,313698,2048,5120,3072,6144
1080,19,HGSC,281746,3072,5120,4096,6144
1080,20,HGSC,257309,2048,12288,3072,13312
1080,21,HGSC,256121,2048,10240,3072,11264
1080,22,HGSC,247029,6144,14336,7168,15360
1080,23,HGSC,240596,6144,11264,7168,12288
1080,24,HGSC,194473,3072,8192,4096,9216
1080,25,HGSC,192053,5120,15360,6144,16384
1080,26,HGSC,140142,15360,19456,16384,20480
1080,27,HGSC,137555,5120,14336,6144,15360
1080,28,HGSC,133468,22528,3072,23552,4096
1080,29,HGSC,127817,14336,19456,15360,20480
1080,30,HGSC,112693,3072,6144,4096,7168
1080,31,HGSC,102390,3072,15360,4096,16384
1101,0,HGSC,1034293,10240,5120,11264,6144
1101,1,HGSC,1029762,10240,6144,11264,7168
1101,2,HGSC,992795,9216,6144,10240,7168
1101,3,HGSC,989510,11264,5120,12288,6144
1101,4,HGSC,973093,12288,5120,13312,6144
1101,5,HGSC,969835,2048,12288,3072,13312
1101,6,HGSC,956242,10240,4096,11264,5120
1101,7,HGSC,915586,2048,11264,3072,12288
1101,8,HGSC,901189,11264,2048,12288,3072
1101,9,HGSC,828889,13312,6144,14336,7168
1101,10,HGSC,796873,3072,12288,4096,13312
1101,11,HGSC,792445,10240,2048,11264,3072
1101,12,HGSC,773261,14336,9216,15360,10240
1101,13,HGSC,766826,11264,6144,12288,7168
1101,14,HGSC,712308,3072,11264,4096,12288
1101,15,HGSC,710731,10240,7168,11264,8192
1101,16,HGSC,707359,13312,7168,14336,8192
1101,17,HGSC,701398,11264,4096,12288,5120
1101,18,HGSC,656425,9216,5120,10240,6144
1101,19,HGSC,628423,8192,8192,9216,9216
1101,20,HGSC,615120,8192,7168,9216,8192
1101,21,HGSC,585913,9216,4096,10240,5120
1101,22,HGSC,585165,12288,6144,13312,7168
1101,23,HGSC,565293,13312,5120,14336,6144
1101,24,HGSC,563291,10240,3072,11264,4096
1101,25,HGSC,545502,8192,9216,9216,10240
1101,26,HGSC,541209,13312,8192,14336,9216
1101,27,HGSC,537757,12288,2048,13312,3072
1101,28,HGSC,530514,9216,7168,10240,8192
1101,29,HGSC,488303,7168,7168,8192,8192
1101,30,HGSC,456073,7168,8192,8192,9216
1101,31,HGSC,416661,2048,10240,3072,11264
1252,0,HGSC,1033434,50176,13312,51200,14336
1252,1,HGSC,1030880,51200,14336,52224,15360
1252,2,HGSC,1027586,51200,13312,52224,14336
1252,3,HGSC,1026617,49152,13312,50176,14336
1252,4,HGSC,1025027,49152,12288,50176,13312
1252,5,HGSC,1021958,50176,12288,51200,13312
1252,6,HGSC,1021784,52224,14336,53248,15360
1252,7,HGSC,1009752,51200,12288,52224,13312
1252,8,HGSC,992879,52224,13312,53248,14336
1252,9,HGSC,983386,51200,11264,52224,12288
1252,10,HGSC,980065,52224,12288,53248,13312
1252,11,HGSC,969367,50176,11264,51200,12288
1252,12,HGSC,965191,49152,11264,50176,12288
1252,13,HGSC,964624,52224,11264,53248,12288
1252,14,HGSC,962694,52224,10240,53248,11264
1252,15,HGSC,960800,48128,13312,49152,14336
1252,16,HGSC,956928,53248,14336,54272,15360
1252,17,HGSC,953908,50176,14336,51200,15360
1252,18,HGSC,950936,51200,10240,52224,11264
1252,19,HGSC,949648,51200,15360,52224,16384
1252,20,HGSC,927947,50176,10240,51200,11264
1252,21,HGSC,885294,52224,15360,53248,16384
1252,22,HGSC,820322,48128,12288,49152,13312
1252,23,HGSC,810776,53248,13312,54272,14336
1252,24,HGSC,810319,53248,15360,54272,16384
1252,25,HGSC,755758,53248,12288,54272,13312
1252,26,HGSC,748825,54272,14336,55296,15360
1252,27,HGSC,746900,49152,10240,50176,11264
1252,28,HGSC,730537,53248,10240,54272,11264
1252,29,HGSC,727571,51200,9216,52224,10240
1252,30,HGSC,699992,53248,11264,54272,12288
1252,31,HGSC,685849,49152,14336,50176,15360
1289,0,HGSC,766080,4096,23552,5120,24576
1289,1,HGSC,757885,6144,23552,7168,24576
1289,2,HGSC,744170,4096,24576,5120,25600
1289,3,HGSC,732172,5120,23552,6144,24576
1289,4,HGSC,696408,5120,24576,6144,25600
1289,5,HGSC,586211,16384,12288,17408,13312
1289,6,HGSC,388777,16384,13312,17408,14336
1289,7,HGSC,372261,3072,23552,4096,24576
1289,8,HGSC,335820,17408,12288,18432,13312
1289,9,HGSC,256771,7168,23552,8192,24576
1289,10,HGSC,217886,6144,24576,7168,25600
1289,11,HGSC,186320,6144,22528,7168,23552
1289,12,HGSC,180181,16384,14336,17408,15360
1289,13,HGSC,177342,3072,24576,4096,25600
1289,14,HGSC,147436,15360,13312,16384,14336
1289,15,HGSC,139024,16384,11264,17408,12288
1289,16,HGSC,106122,15360,12288,16384,13312
1289,17,HGSC,86613,5120,22528,6144,23552
1289,18,HGSC,86213,15360,14336,16384,15360
1289,19,HGSC,69028,18432,12288,19456,13312
1289,20,HGSC,69007,17408,11264,18432,12288
1289,21,HGSC,63866,7168,22528,8192,23552
1289,22,HGSC,55049,17408,13312,18432,14336
1289,23,HGSC,51953,5120,25600,6144,26624
1289,24,HGSC,47920,15360,11264,16384,12288
1289,25,HGSC,47834,4096,25600,5120,26624
1289,26,HGSC,42626,16384,10240,17408,11264
1289,27,HGSC,41644,30720,10240,31744,11264
1289,28,HGSC,38994,36864,10240,37888,11264
1289,29,HGSC,37935,29696,10240,30720,11264
1289,30,HGSC,37914,30720,9216,31744,10240
1289,31,HGSC,36370,18432,11264,19456,12288
1295,0,HGSC,1033982,10240,3072,11264,4096
1295,1,HGSC,1030841,10240,2048,11264,3072
1295,2,HGSC,1030825,11264,3072,12288,4096
1295,3,HGSC,1029598,40960,2048,41984,3072
1295,4,HGSC,1029153,11264,2048,12288,3072
1295,5,HGSC,1022310,40960,1024,41984,2048
1295,6,HGSC,1020564,41984,2048,43008,3072
1295,7,HGSC,1013869,4096,5120,5120,6144
1295,8,HGSC,1011998,41984,1024,43008,2048
1295,9,HGSC,1009151,32768,12288,33792,13312
1295,10,HGSC,998546,12288,3072,13312,4096
1295,11,HGSC,991580,4096,4096,5120,5120
1295,12,HGSC,986369,5120,5120,6144,6144
1295,13,HGSC,985650,41984,5120,43008,6144
1295,14,HGSC,976058,43008,2048,44032,3072
1295,15,HGSC,971945,9216,2048,10240,3072
1295,16,HGSC,967611,3072,13312,4096,14336
1295,17,HGSC,964880,10240,11264,11264,12288
1295,18,HGSC,960778,9216,3072,10240,4096
1295,19,HGSC,957968,39936,10240,40960,11264
1295,20,HGSC,954673,34816,3072,35840,4096
1295,21,HGSC,952737,39936,11264,40960,12288
1295,22,HGSC,949638,10240,10240,11264,11264
1295,23,HGSC,949441,2048,13312,3072,14336
1295,24,HGSC,943063,10240,12288,11264,13312
1295,25,HGSC,938570,32768,13312,33792,14336
1295,26,HGSC,935880,5120,4096,6144,5120
1295,27,HGSC,935744,3072,14336,4096,15360
1295,28,HGSC,933846,12288,2048,13312,3072
1295,29,HGSC,927977,3072,5120,4096,6144
1295,30,HGSC,925688,34816,4096,35840,5120
1295,31,HGSC,923553,40960,12288,41984,13312
1660,0,CC,1004131,45056,14336,46080,15360
1660,1,CC,1002306,44032,14336,45056,15360
1660,2,CC,997106,46080,14336,47104,15360
1660,3,CC,989584,43008,14336,44032,15360
1660,4,CC,986621,45056,13312,46080,14336
1660,5,CC,986402,44032,13312,45056,14336
1660,6,CC,982956,44032,15360,45056,16384
1660,7,CC,980542,43008,15360,44032,16384
1660,8,CC,980053,45056,15360,46080,16384
1660,9,CC,973671,46080,13312,47104,14336
1660,10,CC,973307,43008,13312,44032,14336
1660,11,CC,966736,44032,12288,45056,13312
1660,12,CC,951829,46080,15360,47104,16384
1660,13,CC,950219,75776,13312,76800,14336
1660,14,CC,946477,74752,13312,75776,14336
1660,15,CC,938718,45056,12288,46080,13312
1660,16,CC,934545,44032,11264,45056,12288
1660,17,CC,931413,47104,14336,48128,15360
1660,18,CC,926799,76800,13312,77824,14336
1660,19,CC,924490,43008,12288,44032,13312
1660,20,CC,923274,74752,12288,75776,13312
1660,21,CC,919520,45056,11264,46080,12288
1660,22,CC,909775,75776,14336,76800,15360
1660,23,CC,905527,74752,14336,75776,15360
1660,24,CC,904801,75776,12288,76800,13312
1660,25,CC,891886,13312,15360,14336,16384
1660,26,CC,887930,46080,12288,47104,13312
1660,27,CC,880666,14336,15360,15360,16384
1660,28,CC,872553,41984,13312,43008,14336
1660,29,CC,872501,41984,14336,43008,15360
1660,30,CC,872317,13312,14336,14336,15360
1660,31,CC,862180,46080,11264,47104,12288
1666,0,HGSC,959856,33792,8192,34816,9216
1666,1,HGSC,959040,33792,9216,34816,10240
1666,2,HGSC,954079,63488,7168,64512,8192
1666,3,HGSC,947050,64512,7168,65536,8192
1666,4,HGSC,938802,63488,8192,64512,9216
1666,5,HGSC,936370,32768,8192,33792,9216
1666,6,HGSC,935256,3072,9216,4096,10240
1666,7,HGSC,935001,34816,9216,35840,10240
1666,8,HGSC,933361,4096,9216,5120,10240
1666,9,HGSC,920317,32768,9216,33792,10240
1666,10,HGSC,917437,34816,8192,35840,9216
1666,11,HGSC,912274,4096,10240,5120,11264
1666,12,HGSC,907426,33792,10240,34816,11264
1666,13,HGSC,906245,64512,8192,65536,9216
1666,14,HGSC,895081,33792,7168,34816,8192
1666,15,HGSC,890885,65536,7168,66560,8192
1666,16,HGSC,883990,62464,8192,63488,9216
1666,17,HGSC,874912,4096,11264,5120,12288
1666,18,HGSC,869520,3072,10240,4096,11264
1666,19,HGSC,869412,62464,7168,63488,8192
1666,20,HGSC,858002,5120,9216,6144,10240
1666,21,HGSC,856328,34816,7168,35840,8192
1666,22,HGSC,856122,5120,10240,6144,11264
1666,23,HGSC,842252,33792,11264,34816,12288
