image_id,label,image_width,image_height,image_type,organ,cancer_subtype,dataset,image_path
usbiolabcom_0,CC,995,1020,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/0.png
usbiolabcom_1,EC,1006,1031,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/1.png
usbiolabcom_2,HGSC,1043,1029,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/2.png
usbiolabcom_3,EC,1083,1030,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/3.png
usbiolabcom_4,HGSC,1014,1036,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/4.png
usbiolabcom_5,Other,1061,1052,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/5.png
usbiolabcom_6,LGSC,1024,1016,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/6.png
usbiolabcom_7,HGSC,970,1019,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/7.png
usbiolabcom_8,HGSC,1036,1026,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/8.png
usbiolabcom_9,HGSC,1030,1054,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/9.png
usbiolabcom_10,MC,962,961,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/10.png
usbiolabcom_11,HGSC,1043,1029,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/11.png
usbiolabcom_12,LGSC,1028,1033,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/12.png
usbiolabcom_13,HGSC,957,998,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/13.png
usbiolabcom_14,Other,1022,986,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/14.png
usbiolabcom_15,HGSC,1004,1015,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/15.png
usbiolabcom_16,MC,1111,1032,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/16.png
usbiolabcom_17,MC,1067,1042,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/17.png
usbiolabcom_18,CC,965,970,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/18.png
usbiolabcom_19,LGSC,974,1010,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/19.png
usbiolabcom_20,Other,1022,986,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/20.png
usbiolabcom_21,HGSC,1048,1054,tma,ovary,,usbiolabcom,/home/gunes/Desktop/Kaggle/ubc-ovarian-cancer-subtype-classification-and-outlier-detection/data/model_datasets/usbiolabcom/images/21.png
