label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
object,208,155,2639,2673,13568.png,2964,2964
object,227,79,2507,2650,17637.png,2964,2964
object,311,328,2666,2770,21020.png,3388,3388
object,190,290,2805,2757,29084.png,3388,3388
object,449,406,2489,2541,31594.png,3388,3388
object,170,0,2643,2964,35565.png,2964,2964
object,9,173,3353,3163,36302.png,3388,3388
object,43,246,3306,2969,36583.png,3388,3388
object,117,0,2680,2934,36783.png,2964,2964
object,432,104,2619,3176,37385.png,3388,3388
object,136,0,2662,2964,40864.png,2964,2964
object,253,174,2590,2711,4134.png,2964,2964
object,173,0,3215,3323,41368.png,3388,3388
object,246,257,2473,2563,41586.png,2964,2964
object,45,0,2892,2938,42857.png,2964,2964
object,212,242,2934,2995,44603.png,3388,3388
object,302,280,2465,2507,47035.png,2964,2964
object,385,303,2757,2913,48734.png,3388,3388
object,129,185,2741,2616,50932.png,2964,2964
object,307,30,2818,3120,53655.png,3388,3388
object,497,350,2532,2627,57696.png,3388,3388
object,43,216,3185,3055,61797.png,3388,3388
object,151,0,2737,2964,8280.png,2964,2964
object,536,549,2411,2360,91.png,3388,3388
object,190,251,2982,2956,9200.png,3388,3388
